Designator,Mid X,Mid Y,Rotation,Layer
C1,121.031,-52.959,90.0,top
C10,135.2804,-56.4896,90.0,top
C11,154.9022,-57.3024,0.0,top
C12,144.3736,-50.6984,180.0,top
C13,143.3068,-55.251557,180.0,top
C14,140.3096,-55.2704,180.0,top
C15,149.8618,-48.514,0.0,top
C16,141.478,-64.77,0.0,top
C2,132.334,-49.276,270.0,top
C3,137.668,-49.276,270.0,top
C4,139.192,-49.276,270.0,top
C6,117.221,-55.245,180.0,top
C7,130.6068,-52.324,270.0,top
C8,121.666,-59.69,0.0,top
C9,133.5024,-59.5376,270.0,top
D1,130.5052,-54.8132,0.0,top
D2,130.5052,-56.7944,0.0,top
D3,125.984,-69.5452,270.0,top
D4,128.0696,-69.5452,270.0,top
D5,123.9012,-69.5452,270.0,top
J1,115.2144,-65.7352,180.0,top
J2,111.3408,-51.8648,270.0,top
J3,154.3142,-51.816,0.0,top
J6,138.3284,-67.6656,90.0,top
L1,135.001,-46.99,0.0,top
Q1,149.5552,-51.6913,270.0,top
Q2,129.2352,-61.3297,0.0,top
Q3,133.35,-56.7944,0.0,top
Q4,142.494,-68.6816,0.0,top
R10,121.031,-49.911,90.0,top
R11,119.507,-49.911,90.0,top
R12,147.0152,-53.0342,90.0,top
R13,132.6896,-62.2808,180.0,top
R16,129.6924,-58.7756,180.0,top
R17,131.9784,-59.5376,90.0,top
R18,144.3736,-52.2224,0.0,top
R19,144.3736,-53.7464,0.0,top
R2,138.176,-52.07,180.0,top
R20,129.032,-65.4812,180.0,top
R21,129.0198,-67.056,180.0,top
R22,143.0528,-66.294,180.0,top
R23,129.032,-63.9572,180.0,top
R3,119.507,-52.959,90.0,top
R4,117.221,-56.769,180.0,top
R5,117.221,-58.293,0.0,top
R6,135.89,-52.324,270.0,top
R7,132.1308,-52.324,90.0,top
R8,133.6548,-52.324,90.0,top
R9,114.1984,-58.3184,180.0,top
SW2,154.8892,-63.3476,270.0,top
TP6,158.9532,-70.2056,180.0,top
U1,120.942801,-56.731789,90.0,top
U2,135.016999,-49.276,90.0,top
U4,151.892,-54.4576,90.0,top
U5,151.892,-52.5272,90.0,top
U6,141.8336,-59.6392,0.0,top
U7,116.2812,-53.5352,270.0,top
